year,registry_group_number,registry_group_name,region,prov_terr,district,pop_on_reserve_crown_land_men,pop_on_reserve_crown_land_women,pop_on_reserve_crown_land_total,pop_off_reserve_men,pop_off_reserve_women,pop_off_reserve_total,pop_total_men,pop_total_women,pop_total_total
2022,128,Naicatchewenin,Ontario,Ontario,Western District,168,159,327,121,108,229,289,267,556
2022,129,Nigigoonsiminikaaning First Nation,Ontario,Ontario,Western District,92,91,183,110,133,243,202,224,426
2022,130,Rainy River First Nations,Ontario,Ontario,Western District,217,271,488,402,434,836,619,705,1324
2022,131,Ojibways of Onigaming First Nation,Ontario,Ontario,Western District,269,229,498,157,214,371,426,443,869
2022,132,Seine River First Nation,Ontario,Ontario,Western District,166,203,369,212,230,442,378,433,811
2022,133,Mitaanjigamiing First Nation,Ontario,Ontario,Western District,69,67,136,35,28,63,104,95,199
2022,134,Wahta Mohawk,Ontario,Ontario,Southern District,81,66,147,345,406,751,426,472,898
2022,135,Moose Deer Point,Ontario,Ontario,Southern District,68,76,144,186,202,388,254,278,532
2022,136,Wasauksing First Nation,Ontario,Ontario,Southern District,212,203,415,466,506,972,678,709,1387
2022,137,Shawanaga First Nation,Ontario,Ontario,Sudbury District,82,101,183,259,303,562,341,404,745
2022,138,Chippewas of Georgina Island,Ontario,Ontario,Southern District,97,113,210,359,381,740,456,494,950
2022,139,Chippewas of Rama First Nation,Ontario,Ontario,Southern District,390,371,761,666,695,1361,1056,1066,2122
2022,140,Mississaugas of Scugog Island First Nation,Ontario,Ontario,Southern District,30,24,54,103,104,207,133,128,261
2022,141,Beausoleil,Ontario,Ontario,Southern District,340,355,695,1132,1274,2406,1472,1629,3101
2022,142,Albany,Ontario,Ontario,Western District,1667,1648,3315,985,1031,2016,2652,2679,5331
2022,143,Attawapiskat,Ontario,Ontario,Western District,1086,1023,2109,742,857,1599,1828,1880,3708
2022,144,Moose Cree First Nation,Ontario,Ontario,Western District,1029,909,1938,1480,1596,3076,2509,2505,5014
2022,145,Taykwa Tagamou Nation,Ontario,Ontario,Western District,85,76,161,243,261,504,328,337,665
2022,146,Weenusk,Ontario,Ontario,Western District,161,133,294,167,146,313,328,279,607
2022,147,Niisaachewan Anishinaabe Nation,Ontario,Ontario,Western District,99,84,183,151,169,320,250,253,503
2022,148,Eagle Lake,Ontario,Ontario,Western District,196,181,377,134,145,279,330,326,656
2022,149,Grassy Narrows First Nation,Ontario,Ontario,Western District,505,509,1014,287,305,592,792,814,1606
2022,150,Wabaseemoong Independent Nations,Ontario,Ontario,Western District,494,516,1010,500,529,1029,994,1045,2039
2022,151,Northwest Angle No.33,Ontario,Ontario,Western District,139,127,266,142,203,345,281,330,611
2022,152,Animakee Wa Zhing #37,Ontario,Ontario,Western District,95,103,198,195,213,408,290,316,606
2022,153,Anishinabe of Wauzhushk Onigum,Ontario,Ontario,Western District,218,185,403,205,243,448,423,428,851
2022,154,Iskatewizaagegan #39 Independent First Nation,Ontario,Ontario,Western District,191,180,371,169,158,327,360,338,698
2022,155,Shoal Lake No.40,Ontario,Ontario,Western District,160,146,306,171,206,377,331,352,683
2022,156,Wabauskang First Nation,Ontario,Ontario,Western District,71,72,143,111,123,234,182,195,377
2022,157,Wabigoon Lake Ojibway Nation,Ontario,Ontario,Western District,102,92,194,414,396,810,516,488,1004
2022,158,Naotkamegwanning,Ontario,Ontario,Western District,391,371,762,298,265,563,689,636,1325
2022,159,Mohawks of Akwesasne,Ontario,Ontario,Southern District,4997,5252,10249,1431,1572,3003,6428,6824,13252
2022,160,Alderville First Nation,Ontario,Ontario,Southern District,148,167,315,513,542,1055,661,709,1370
2022,161,Curve Lake,Ontario,Ontario,Southern District,406,418,824,945,1021,1966,1351,1439,2790
2022,162,Hiawatha First Nation,Ontario,Ontario,Southern District,91,119,210,371,439,810,462,558,1020
2022,163,Algonquins of Pikwakanagan First Nation,Ontario,Ontario,Southern District,228,236,464,1574,1668,3242,1802,1904,3706
2022,164,Mohawks of the Bay of Quinte,Ontario,Ontario,Southern District,1022,1110,2132,4092,4563,8655,5114,5673,10787
2022,165,Caldwell,Ontario,Ontario,Southern District,X,X,X,X,X,X,224,274,498
2022,166,Chippewas of the Thames First Nation,Ontario,Ontario,Southern District,512,506,1018,934,1118,2052,1446,1624,3070
2022,167,Moravian of the Thames,Ontario,Ontario,Southern District,301,300,601,327,417,744,628,717,1345
2022,168,Munsee-Delaware Nation,Ontario,Ontario,Southern District,89,89,178,247,273,520,336,362,698
2022,169,Oneida Nation of the Thames,Ontario,Ontario,Southern District,1108,1134,2242,1959,2237,4196,3067,3371,6438
2022,170,Walpole Island,Ontario,Ontario,Southern District,1199,1152,2351,1228,1395,2623,2427,2547,4974
2022,171,Chippewas of Kettle and Stony Point,Ontario,Ontario,Southern District,723,677,1400,557,680,1237,1280,1357,2637
2022,172,Aamjiwnaang,Ontario,Ontario,Southern District,485,497,982,716,828,1544,1201,1325,2526
